##;English;French;German;Spanish;Italiano;;;;;;;;;X
#;;;;;;;;;;;;;;X
DPA_EMPEROR2;Byzantine Emperor: x%d\n;Empereur Byzantin: x%d\n;Kaiser von Byzanz: x%d\n;Emperador de Bizancio: x%d\n;Imperatore bizantino: x%d\n;;;;;;;;;X
DPA_STEWARDSHIP2;Ruler's Intrigue allows %d\n;L'Intrigue du souverain permet %d\n;Das Intrigenspiel des Herrschers erlaubt %d\n;La intriga del gobernante permite %d\n;Abilità Intrigo del signore: %d\n;;;;;;;;;X
EE_CHAR_BADBOY;Change Reputation of %s by %+.f;Changer la Réputation de %s par %+.f;%s 's Ruf verändert sich um %+.f;Cambio en la reputación de %s de %+.f;%s: Reputazione modificata di %+.f\n;;;;;;;;;X
IW_WE_NEED_PIETY;We need %d piety to offer peace to the infidels;Il faut au moins %d de piété pour faire la paix avec les infidèles.;Wir benötigen %d Frömmigkeit, um den Ungläubigen Frieden anzubieten.;Necesitamos %d de piedad para ofrecer la paz a los infieles.;Ci serve %d di pietà per poter offrire la pace agli infedeli.;;;;;;;;;X
BISHOPRY_EXPLANATION;Click to turn any of your counties into a bishopric. A bishop is eligible to be elected Pope and he gets a loyalty bonus from the liege's piety.;Transforme l'un de vos comtés en évêché. Un évêque peut être élu Pape et a un bonus de loyauté dépendant de la piété de son suzerain.;Klicke, um eine Grafschaft in ein Bistum umzuwandeln. Ein Bischof kann zum Papst gewählt werden und erhält einen Loyalitätsbonus durch die Frömmigkeit seines Lehnsherrn.;Haz clic para convertir cualquiera de tus condados en un obispado. Un obispo puede ser candidato a Papa y recibe una bonificación de lealtad de la piedad del señor feudal.;Clicca qui per trasformare una delle tue contee in un vescovado. Un vescovo può essere eletto papa e ottiene un bonus di lealtà dalla pietà del signore.;;;;;;;;;X
SCUTAGE_TOOLTIP;Scutage affects how big the armies of your vassals will be. A high scutage will net you more money, but will make your vassal field fewer troops, and make him become less loyal.;Cet impôt conditionne la taille des armées de vos vassaux. Elevé, il vous rapporte plus d'argent, mais diminue la taille de l'armée que vos vassaux peuvent lever et les rendent moins loyaux.;Scutage beeinflusst, wie groß die Heere Eurer Vasallen sein werden. Durch hohe Scutage erhaltet Ihr mehr Geld, aber dadurch haben Eure Vasallen weniger Truppen im Feld, und sie werden weniger loyal.;El escudaje determina lo grandes que serán los ejércitos de tus vasallos. Un escudaje elevado te reportará más dinero, pero también hará que tu vasallo presente menos tropas y se vuelva menos leal.;Lo scutagium influisce sulle dimensioni degli eserciti dei tuoi vassalli. Uno scutagium alto ti apporterà più denaro, ma i tuoi vassalli potranno schierare meno truppe e diventeranno meno leali.;;;;;;;;;X
UPKEEP_TOOLTIP;This is how much you are paying your troops in the field. Anything less than the maximum amount may cause attrition.;La solde de vos troupes en campagne. Toute valeur en dessous du maximum augmentera l'usure de vos troupes.;Dies gibt an, wieviel Eure im Felde stehenden Truppen kosten. Jeder Betrag unter dem Maximum kann Verluste unter den Truppen verursachen.;Esta cantidad representa cuánto estás pagando a tus tropas del campo de batalla. Cualquier valor inferior al máximo puede causar desgaste.;È la quantità di denaro che paghi alle tue truppe sul campo. Qualsiasi cifra inferiore al massimo può causare attrito.;;;;;;;;;X
CONFIRMDISBANDUNIT;Do you really want to disband this army? You will lose its service for the current campaign, and they will go back to their home provinces.;Voulez-vous vraiment dissoudre cette armée ? Vous ne pourrez plus l'utiliser durant la campagne actuelle, et vos homes rejoindront leurs provinces natales.;Wollen Sie diese Einheit wirklich auflösen? Sie wird für den derzeitigen Feldzug verloren sein und in Ihre Heimatprovinzen zurückkehren.;¿Seguro que quieres disolver este ejército? Perderás sus servicios en la campaña actual, y regresará a sus provincias de origen.;Sei sicuro di voler sciogliere questo esercito? Perderai i suoi servizi nella campagna attuale, e i soldati torneranno alle loro province d'origine.;;;;;;;;;X
IW_SEND_GIFT;Send Gift;Faire un don;Geschenk senden;Enviar presente;Invia dono;;;;;;;;;X
IW_GIVE_GOLD_TEXT;Send %d$ as a gift.;Faire un don de %d$.;Sendet %d$ als Geschenk.;Enviar %d$ como presente.;Invia in dono %d$.;;;;;;;;;X
TRAITS;Traits:;Traits :;Eigenschaften:;Rasgo:;Caratteristiche: ;;;;;;;;;X
EE_CHAR_COURTIER_DEFECT;%s defects to %s.;%s nous a trahi pour %s.;%s läuft zu %s über.;%s ha desertado a %s.;%s si trasferisce presso %s\n;;;;;;;;;X
MINCAP_HOSTILE;Attrition can't be lower than %.1f percent when in hostile territory.\n;L'usure ne peut être inférieure à %.1f pourcent dans un territoire hostile.\n;Die Verlustrate kann in feindlichem Gebiet nicht unter %.1f Prozent fallen.\n;El desgaste no puede ser menor de un %.1f por ciento sobre un territorio hostil.\n;Il logorio non può essere inferiore al %.1f per cento in un territorio ostile.\n;;;;;;;;;X
MINCAP_NEUTRAL;Attrition can't be lower than %.1f percent when in neutral territory.\n;L'usure ne peut être inférieure à %.1f pourcent dans un territoire neutre.\n;Die Verlustrate kann in neutralem Gebiet nicht unter %.1f Prozent fallen.\n;El desgaste no puede ser menor de un %.1f por ciento sobre un territorio neutral.\n;Il logorio non può essere inferiore al %.1f per cento in un territorio neutrale.\n;;;;;;;;;X
IW_TRUCE_BREAK_COST;%s has a truce with %s since %s and it would cost us %.0f prestige to declare war on them.;%s est en trêve avec %s depuis %s et cela nous coûterait %.0f de prestige de leur déclarer la guerre.;%s hat einen Waffenstillstand mit %s seit dem %s und es würde uns %.0f Prestige kosten, ihnen den Krieg zu erklären.;%s tiene una tregua %s desde el %s y nos costará %.0f de prestigio declararles la guerra.;%s ha una tregua con %s dal %s e dichiarargli guerra ci costerebbe %.0f di prestigio.;;;;;;;;;X
IW_OFFER_ALLIANCE;Offer Alliance;Proposer une alliance;Allianz anbieten;Ofrecer Alianza;Offri alleanza;;;;;;;;;X
IW_OFFER_ALLIANCE_DESC;An alliance is a mutual agreement between two rulers to support each other in the event of war.;Une alliance est un accord mutuel entre deux souverains qui acceptent se soutenir l'un l'autre en cas de guerre.;Eine Allianz ist eine beidseitige Erklärung zwischen zwei Herrschern, sich gegenseitig im Krieg zu unterstützen.;Una alianza es un pacto mutuo entre dos soberanos para apoyarse el uno al otro en caso de guerra.;Un'alleanza è un accordo mutuale fra due governanti che si sosterranno reciprocamente in caso di guerra.;;;;;;;;;X
OFFERALLIANCE_CURR_INFO;We are currently attempting to form an alliance with §Y%s§W. We expect an answer before §Y%s§W.;Nous essayons de former une alliance avec §Y%s§W. Nous attendons une réponse avant le §Y%s§W.;Wir versuchen derzeit, eine Allianz mit §Y%s§W einzugehen. Wir erwarten eine Antwort bis zum §Y%s§W.;Actualmente estamos intentado formar una alianza con §Y%s§W. Esperamos una respuesta antes del §Y%s§W.;Attualmente stiamo tentando di formare un'alleanza con §Y%s§W. Prevediamo una risposta prima di §Y%s§W.;;;;;;;;;X
ANSWERALLY1;My lord, our allies are under attack.;Seigneur, nos alliés sont attaqués.;Herr, unsere Alliierten werden angegriffen.;Mi señor, nuestros aliados están siendo atacados.;Mio signore, i nostri alleati sono stati attaccati.;;;;;;;;;X
ANSWERALLY2;%s have attacked %s.;%s a attaqué %s.;%s hat %s angegriffen.;%s ha atacado %s.;%s ha attaccato %s.;;;;;;;;;X
ANSWERALLY3;Shall we go to war to help them?;Devons-nous entrer en guerre pour les aider?;Sollen wir in den Krieg ziehen, um ihnen zu helfen?;¿Debemos ir a la guerra para ayudarles?;Dobbiamo entrare in guerra per aiutarli?;;;;;;;;;X
ANSWERALLY1B;My lord, our allies in %s have started a war.;Seigneur, nos alliés (%s) ont déclaré une guerre.;Herr, unsere Alliierten aus %s haben einen Krieg begonnen.;Mi Señor, nuestros aliados en %s han comenzado una guerra.;Mio signore, i nostri alleati a %s hanno iniziato una guerra.;;;;;;;;;X
ANSWERALLY2B;They have attacked %s.;Ils ont attaqué %s.;Sie haben %s angegriffen,;Ellos han atacado %s.;Hanno attaccato %s.;;;;;;;;;X
ANSWERALLY3B; In support of their allies, who were attacked.;Pour aider leurs alliés, qui ont été attaqués.; um ihre Alliierten zu unterstützen, die angegriffen wurden.;En apoyo de sus aliados, que fueron atacados.;In appoggio ai loro alleati, che sono stati attaccati.;;;;;;;;;X
WAR_ALLY_IRO;This ruler is at war with one of your allies and you may declare war upon him.;Ce souverain est en guerre contre un de vos alliés et vous pouvez lui déclarer la guerre.;Dieser Herrscher ist im Krieg gegen einen Eurer Allierten und Ihr könnt ihm den Krieg erklären.;Este gobernante está en guerra con uno de tus aliados y has de declararle la guerra.;Questo governante è in guerra contro uno dei nostri alleati e puoi dichiarargli guerra.;;;;;;;;;X
NOALLY_WAR;You cannot ally with anyone with whom you are at war.;Vous ne pouvez vous allier avec quelqu'un contre qui vous êtes en guerre.;Ihr könnt keine Allianz mit jemandem schließen, mit dem Ihr im Krieg seit.;No te puedes aliar con alguien con el que estás en guerra.;Non puoi allearti con qualcuno contro cui sei in guerra.;;;;;;;;;X
NOALLY_ALREADY;You are already have an alliance.;Vous avez déjà une alliance.;Ihr habt bereits eine Allianz.;Ya estás actualmente en una alianza.;Fai già parte di un'alleanza.;;;;;;;;;X
NOALLY_TOOMANY;You do not have the diplomatic ability to have more allies.;Vous n'avez pas la capacité diplomatique d'avoir plus d'alliés.;Ihr habt nicht die diplomatischen Fähigkeiten, um weitere Alliierte haben zu können.;No tienes la habilidad diplomática de tener más aliados.;Non hai le capacità diplomatiche necessarie per avere più alleati.;;;;;;;;;X
ALLY_INFO_IRO;An ally can come to your help when at war, and fight the same enemies without the need of a claim.;Un allié peut vous aider en temps de guerre et combattre les mêmes ennemis sans avoir besoin d'une revendication.;Ein Alliierter kann Euch im Krieg unterstützen und Krieg gegen denselben Feinde erklären, ohne einen Anspruch zu haben.;Un aliado puede venir en tu ayuda durante una guerra, y luchar contra los mismos enemigos sin tener una reivindicación.;Un alleato può venire in tuo aiuto durante una guerra e combattere gli stessi nemici senza bisogno di una rivendicazione.;;;;;;;;;X
NOALLY_NOTVASSAL;You cannot ally with an immediate vassal, as that is already a much tighter alliance.;Vous ne pouvez vous allier avec un vassal immédiat, car cette alliance est déjà plus forte.;Ihr könnt keine Allianz mit Euren eigenen Vasallen eingehen, da das bereits eine viel engere Allianz ist.;No puedes aliarte con un vasallo inmediato, pues ellos ya están en una alianza mucho más fuerte.;Non puoi allearti con un vassallo diretto, perché quella è già un'alleanza molto più stretta.;;;;;;;;;X
AINFO_ALLIES;Current Allies:;Alliés actuels :;Derzeitige Alliierte:;Aliados Actuales:;Attuali alleati:;;;;;;;;;X
NOALLY_LIEGE;You cannot ally with your liege as you already have a much tighter alliance.;Vous ne pouvez pas vous allier avec votre suzerain car vos relations sont déjà plus fortes.;Ihr könnt Euch nicht mit Eurem Lehnsherren verbünden, weil Ihr bereits ein viel engeres Bündnis mit ihm habt.;No puedes aliarte con tu señor pues ya tienes una alianza más profunda con el.;Non puoi allearti con il tuo signore, perché avete già un'alleanza molto più stretta.;;;;;;;;;X
NOALLY_NONINDE;You cannot offer alliance to the vassals of another realm, if they are not disloyal enough.;Vous ne pouvez pas proposer d'alliance aux vassaux d'un autre royaume car ils ne sont pas assez déloyaux.;Ihr könnt Vasallen eines anderen Reiches kein Bündnis anbieten, wenn sie nicht illoyal genug sind.;No puedes ofrecer alianza a los vasallos de otro reino si estos no son lo suficientemente desleales.;Non puoi offrire un'alleanza ai vassalli di un altro reame, se non sono sufficientemente sleali.;;;;;;;;;X
CHAT_ALLIES;Allies;Alliés;Alliierte;Aliados;Allies;;;;;;;;;X
EE_CHAR_SET_TO_REALM_RELIGION;%s has %s religion set to %s.; %s a %s religion mise à %s;%s hat %s Religion gesetzt auf %s.;%s tiene la %s religión cambiada a %s;%s ha la %s religione impostata a %s\n;;;;;;;;;X
EE_CRUSADE_START;Crusade called to liberate %s;Appel à la Croisade pour libérer %s;Ein Kreuzzug zur Befreiung von %s wird ausgerufen.;Proclamada una Cruzada para liberar %s;Crociata indetta per liberare %s\n;;;;;;;;;X
EE_CRUSADE_END;Current Crusade comes to an end.;La Croisade actuelle arrive à son terme.;Der jetzige Kreuzzug wird beendet.;La Cruzada actual llega a su fin.;L'attuale Crociata si avvia alla conclusione\n;;;;;;;;;X
CRUSADES_TARGET;The current crusade is called to liberate %s from the heathens and heretics.\n;La Croisade actuelle est appelée pour libérer %s des païens.\n;Der jetzige Kreuzzug wurde ausgerufen um %s von den Ungläubigen und Ketzern zu befreien.\n;Se proclama una Cruzada para liberar %s de los infieles y herejes.;L'attuale Crociata è indetta per liberare %s dagli infedeli e dagli eretici. \n;;;;;;;;;X
DESC_PRESTIGE_TRAITS;From Traits: %+.1f;Traits: %+.1f;Aus Eigenschaften: %+.1f;De rasgos: %+.1f;Caratteristiche: %+.1f;;;;;;;;;X
DESC_PIETY_TRAITS;From Traits: %+.1f;Traits: %+.1f;Aus Eigenschaften: %+.1f;De rasgos: %+.1f;Caratteristiche: %+.1f;;;;;;;;;X
##;;;;;;;;;;;;;;X
ADDCLAIMPLAYER_SETUP;When a character gets a new claim.;Quand un personnage obtient une nouvelle revendication à un titre;Wenn ein Charakter einen neuen Anspruch erhält.;Cuando un personaje obtiene una nueva pretensión a un título.;Quando un personaggio ottiene una nuova rivendicazione a un titolo.;;;;;;;;;X
ADDCLAIMPLAYER_HEADER;Character Gets a New Claim %s;Le personnage obtient une nouvelle revendication au titre de %s;Character erhält einen neuen Anspruch %s;El personaje obtiene una nueva pretensión a un título %s;Il personaggio ottiene una nuova rivendicazione al titolo di %s;;;;;;;;;X
ADDCLAIMPLAYER_1;%s;%s;%s;%s;%s;;;;;;;;;X
ADDCLAIMPLAYER_2;now has a claim on the title:;revendique maintenant le titre :;erhebt jetzt Anspruch auf den Titel:;ha obtenido una pretensión sobre el título: ;ora ha una rivendicazione al titolo di;;;;;;;;;X
ADDCLAIMPLAYER_3;%s.;%s;%s;%s;%s;;;;;;;;;X
ADDCLAIMPLAYER_4;;;;;;;;;;;;;;X
ADDCLAIMPLAYER_5;;;;;;;;;;;;;;X
ADDCLAIMPLAYER_6;;;;;;;;;;;;;;X
ADDCLAIMPLAYER_LOG;%s now has a claim on the title: %s.;%s revendique maintenant le titre : %s.;%s erhebt jetzt Anspruch auf den Titel: %s.;%s ha obtenido una pretensión sobre el título: %s ;%s ora ha una rivendicazione al titolo di %s.;;;;;;;;;X
ADDCLAIMPLAYER_BTN1;OK;OK;OK;De acuerdo;Ok;;;;;;;;;X
ADDCLAIMPLAYER_BTN2;;;;;;;;;;;;;;X
##;;;;;;;;;;;;;;X
NEWPOPE_SETUP;When a new Pope is elected.;Quand un nouveau pape est élu;Wenn ein neuer Papst gewählt wurde.;Cuando un nuevo Papa ha sido elegido.;Quando viene eletto un nuovo papa.;;;;;;;;;X
NEWPOPE_HEADER;A new Pope has been elected %s;Un nouveau pape a été élu : %s;Ein neuer Papst wurde gewählt %s;Un nuevo Papa ha sido elegido %s ;Un nuovo papa è stato eletto %s;;;;;;;;;X
NEWPOPE_1;%s;%s;%s;%s;%s;;;;;;;;;X
NEWPOPE_2;has passed away and the Curia has elected:;est décédé et la Curie a élu :;ist gestorben, und die Kurie wählte;ha muerto y la Curia ha elegido a: ;è morto e la curia ha eletto;;;;;;;;;X
NEWPOPE_3;%s;%s;%s;%s;%s;;;;;;;;;X
NEWPOPE_4;as the new Pope.;comme nouveau pape;zum neuen;como el nuevo Papa. ;come nuovo papa.;;;;;;;;;X
NEWPOPE_5;;;Papst;;;;;;;;;;;X
NEWPOPE_6;;;;;;;;;;;;;;X
NEWPOPE_LOG;%s has passed away and the Curia has elected %s as the new Pope.;%s est décédé et la Curie a élu %s comme nouveau pape;%s starb, und die Kurie wählte %s zum neuen Papst.;%s ha fallecido y la Curia ha elegido a %s como el nuevo Papa. ;%s è deceduto e la curia ha eletto %s come nuovo papa.;;;;;;;;;X
NEWPOPE_BTN1;OK;Amen;OK;De acuerdo;Ok;;;;;;;;;X
NEWPOPE_BTN2;;;;;;;;;;;;;;X
##;;;;;;;;;;;;;;X
NEWPAPALCONTROLLER_SETUP;When a new Papal Controller is determined;Quand le Conseiller papal est déterminé;Wenn ein neuer Herrscher den Papst kontrolliert;Cuando un nuevo Controlador Papal ha sido determinado;Quando è stato scelto un nuovo controllore del papa;;;;;;;;;X
NEWPAPALCONTROLLER_HEADER;New Papal Controller %s;Nouveau Conseiller papal : %s;Neuer Herrscher kontrolliert den Papst %s;Nuevo Controlador Papal %s ;Nuovo controllore del papa %s;;;;;;;;;X
NEWPAPALCONTROLLER_1;%s;%s;%s;%s ;%s;;;;;;;;;X
NEWPAPALCONTROLLER_2;is the new Papal Controller.;est le nouveau Conseiller papal;kontrolliert jetzt den;es el nuevo Controlador Papal. ;è il nuovo controllore del papa.;;;;;;;;;X
NEWPAPALCONTROLLER_3;;;Papst;;;;;;;;;;;X
NEWPAPALCONTROLLER_4;;;;;;;;;;;;;;X
NEWPAPALCONTROLLER_5;;;;;;;;;;;;;;X
NEWPAPALCONTROLLER_6;;;;;;;;;;;;;;X
NEWPAPALCONTROLLER_LOG;%s is the new Papal Controller.;%s est le nouveau Conseiller papal.;%s kontrolliert jetzt den Papst.;%s es el nuevo Controlador Papal. ;%s è il nuovo controllore del papa.;;;;;;;;;X
NEWPAPALCONTROLLER_BTN1;OK;Amen;OK;De acuerdo;Ok;;;;;;;;;X
NEWPAPALCONTROLLER_BTN2;;;;;;;;;;;;;;X
#;;;;;;;;;;;;;;X
OFFERALLIANCE_SETUP;When someone offers us an alliance;Lorsque quelqu'un nous propose une alliance;Wenn uns jemand eine Allianz anbietet;Cuando alguien nos ofrece una alianza;Quando qualcuno ci offre un'alleanza;;;;;;;;;X
OFFERALLIANCE_HEADER;Diplomatic Offer%s;Offre diplomatique%s;Diplomatisches Angebot%s;Oferta Diplomática%s;Offerta diplomatica%s;;;;;;;;;X
OFFERALLIANCE_1;%s;%s;%s;%s;%s;;;;;;;;;X
OFFERALLIANCE_2;expresses his desire to form an alliance.;exprime son désir de former une alliance.;hat Wunsch, eine Allianz mit uns zu schließen.;nos expresa su deseo de formar una alianza.;esprime il suo desiderio di formare un'alleanza.;;;;;;;;;X
OFFERALLIANCE_3;What is your response?;Quelle est votre réponse?;Wie lautet Eure Antwort?;¿Cuál es tu respuesta?;Qual è la tua risposta?;;;;;;;;;X
OFFERALLIANCE_4;(You must respond by %s or the offer will be automatically declined);(Vous devez répondre avant le %s ou l'offre sera automatiquement refusée);(Ihr müsst bis zum %s antworten, oder das Angebot wird automatisch abgelehnt);(Debes responder para el %s o lo oferta será declinada automáticamente);(Devi rispondere entro %s o l'offerta verrà automaticamente declinata);;;;;;;;;X
OFFERALLIANCE_5;;;;;;;;;;;;;;X
OFFERALLIANCE_6;;;;;;;;;;;;;;X
OFFERALLIANCE_LOG;;;;;;;;;;;;;;X
OFFERALLIANCE_BTN1;Accept;Accepter;Annehmen;Aceptar;Accetta;;;;;;;;;X
OFFERALLIANCE_BTN2;I don't think so;Je ne pense pas;Ich glaube, ich will das nicht;No lo creo;Credo di no;;;;;;;;;X
##;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_SETUP;When we form an alliance;Lorsque nous formons une alliance;Wenn wir eine Allianz schließen;Cuando entramos a formar parte de una alianza;Quando formiamo un'alleanza;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_HEADER;Diplomatic Report%s;Rapport diplomatique%s;Diplomatischer Bericht%s;Informe Diplomático%s;Rapporto diplomatico%s;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_1;%s;%s;%s;%s;%s;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_2;has agreed to form an alliance with;a accepté de former une alliance avec;hat eine mit;ha aceptado a entrar en una alianza con;ha accettato di formare un'alleanza con;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_3;%s;%s;%s;%s;%s;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_4;;;eine Allianz geschlossen;;;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_5;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_6;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_LOG;%s has agreed to form an alliance with %s;%s a accepté de former une alliance avec %s;%s hat zugestimmt, mit %s eine Allianz zu schließen;%s ha aceptado a entrar en una alianza con %s;%s ha accettato di formare un'alleanza con;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_BTN1;OK;OK;OK;OK;OK;;;;;;;;;X
PLAYEROFFERALLIANCEACCEPT_BTN2;;;;;;;;;;;;;;X
##;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_SETUP;When an alliance offer from us is declined;Lorsqu'une offre d'alliance de notre part est refusée;Wenn ein Allianzangebot von uns abgelehnt wird;Cuando una oferta nuestra de alianza es rechazada;Quando viene rifiutata una nostra offerta di alleanza;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_HEADER;Diplomatic Report%s;Rapport diplomatique%s;Diplomatischer Bericht%s;Informe Diplomático%s;Rapporto diplomatico%s;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_1;%s;%s;%s;%s;%s;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_2;has declined to form an alliance with;a refusé de former une alliance avec;hat das Allianzangebot von;se ha negado a entrar en una alianza con;ha rifiutato di formare un'alleanza con;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_3;%s;%s;%s;%s;%s;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_4;;;abgelehnt!;;;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_5;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_6;;;;;;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_LOG;%s has declined to form an alliance with %s;%s a refusé de former une alliance avec %s;%s hat ein Allianzangebot von %s abgelehnt;%s se ha negado a entrar en una alianza con %s;%s ha rifiutato di formare un'alleanza con %s;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_BTN1;OK;OK;OK;OK;OK;;;;;;;;;X
PLAYEROFFERALLIANCEDECLINE_BTN2;;;;;;;;;;;;;;X
##;;;;;;;;;;;;;;X
EVT_913_NAME;Religious orders do not permit non-Catholic courtiers;Les ordres religieux ne permettent pas de courtisans non-catholiques;Religiöse Orden erlauben keine nicht katholischen Höflinge.;Las órdenes religiosas no permiten cortesanos no católicos;Nessuno legge questo;;;;;;;;;X
ACTIONNAME913A;OK;Soit.;Okay;De acuerdo;Infatti, siamo analfabeti…;;;;;;;;;X
EVT_914_NAME;AI event - Teutonic horde;Evenement AI - Horde teutonique;KI Ereignis - Deutscher Orden Horde;Evento de IA – Horda teutona;Evento per l'IA - Non dovresti leggere questo;;;;;;;;;X
ACTIONNAME914A;You shouldn't see this event as a player;Vous devriez voir cet événement comme joueur.;Als Spieler solltet Ihr dies gar nicht sehen!;Si lees esto eres IA ;Roba da Paradox…;;;;;;;;;X
EVT_915_NAME;AI event - Templar horde;Evenement AI - Horde templière;KI Ereignis - Templer Horde;Evento de IA – Horda templaria;Evento per l'IA - Non dovresti leggere questo;;;;;;;;;X
ACTIONNAME915A;You shouldn't see this event as a player;Vous devriez voir cet événement comme joueur.;Als Spieler solltet Ihr dies gar nicht sehen!;Si lees esto eres IA ;Roba da Paradox…;;;;;;;;;X
EVT_916_NAME;AI event - Hospitaler horde;Evenement AI - Horde hospitalière;KI Ereignis - Hospitaler Horde;Evento de IA – Horda hospitalaria;Evento per l'IA - Non dovresti leggere questo;;;;;;;;;X
ACTIONNAME916A;You shouldn't see this event as a player;Vous devriez voir cet événement comme joueur.;Als Spieler solltet Ihr dies gar nicht sehen!;Si lees esto eres IA ;Roba da Paradox…;;;;;;;;;X
EVT_917_NAME;Now that we have secured this place in the Holy Land, should we not establish an independent Crusader State for the glory of God?;Maintenant que nous avons conquis la Terre Sainte, devrions-nous instaurer un Etat Croisé indépendant pour la gloire de Dieu?;Da wir jetzt dieses Gebiet im Heiligen Land gesichert haben, sollten wir nicht eine unabhängigen Kreuzfahrerstaat errichten, zum Ruhme Gottes?;Ahora que hemos asegurado este lugar de Tierra Santa, ¿no deberíamos fundar un Estado Cruzado independiente para mayor gloria de Dios?;Adesso che abbiamo liberato questo luogo della Terrasanta, forse dovremmo creare uno Stato Crociato per la gloria di Dio;;;;;;;;;X
ACTIONNAME917A;Deus vult!;Deus Vult!;Deus vult!;¡Deus Vult!;Deus vult!;;;;;;;;;X
ACTIONNAME917B;No! It is mine! My preciousssssssssss!;Non! C'est à moi! Mon précccieuux!;Nein es gehört mir! Mein Schatzzzz!;¡No, son mias!, ¡Mi tesoro!;No, adesso è mio e basta!;;;;;;;;;X
