TRAIT_NAME_CHASTE;Chaste;Chaste;Keuschheit;Casto;Puro;;;;;;X
TRAIT_DESC_GENEROUS;The Character has a big heart and shows it with words and actions. The charitable nature of this character adds to their image as a gracious and great person. They tend to be soft and emotional, holding them back at times in positions of power compromising their ability to make decisions impartially. (Effects:-1 stewardship, +2 yearly prestige, +1 yearly piety);Le personnage a un grand cœur et le montre avec ses mots et ses actions. Sa nature charitable  ajoute à son image d'une personne bonne et gracieuse. Il a tendance à être laxiste envers les autres et émotifs dans ses réactions, ce qui compromet son accession aux postes proche du pouvoir, par manque d'habileté à prendre des décisions impartiales.;Der Charakter hat ein großes Herz und zeigt dies mit Worten und Taten. Die großzügige Natur dieses Charakters erhöht seinen Beliebtheit als eine freundliche und großartige Person. Allerdings tendiert er dazu, in Zeiten, in denen eine starke, durchgreifende Hand gebraucht wird, weich und emotional zu sein, was seine Fähigkeit gefährdet, Entscheidungen zu treffen.;El personaje tiene un gran corazón que demuestra con sus palabras y acciones. Su naturaleza caritativa le da una imagen amable y de gran persona. Tienden a ser blandos y sensibles, lo cual les limita a veces en cargos de poder y compromete su capacidad de tomar decisiones imparciales.;Il personaggio ha un grande cuore e lo mostra sia con le parole che con le azioni. La natura caritatevole di questo personaggio contribuisce alla sua immagine di persona gentile e buona. Tende a essere gentile ed emotivo, il che, quando ha una posizione di potere, compromette la sua capacità di prendere decisioni imparziali.;;;;;;X
TRAIT_NAME_SELFISH;Selfish;Avare;Selbstsucht;Egoísta;Egoista;;;;;;X
TRAIT_DESC_SELFISH;The Character displays the desire to acquire material wealth and luxury items. The character spends their days seeking to acquire the material things in life, while sometimes compromising their ability to rule or govern and get along with others. (Effects: +1 stewardship, -2 yearly prestige, -1 yearly piety);Le personnage se montre désireux de posséder le plus de richesses matérielles et de produits de luxe que possible. Le personnage passe son temps à rechercher des biens matériels dans la vie, tout en compromettant quelquefois son habileté à gouverner et à avoir de bonnes relations avec les autres.;Der Charakter verspürt den Wunsch nach materiellen Reichtum und Luxus. Der Charakter verbringt einen Großteil seiner Zeit damit, die materiellen Dinge des Lebens zu erwerben, was seine Fähigkeiten zu herrschen oder zu regieren und mit anderen auszukommen manchmal gefährdet.;El personaje muestra el deseo de atesorar riqueza material y objetos de lujo. Pasa el tiempo buscando la forma de obtener cosas materiales, lo cual puede a veces comprometer su capacidad para gobernar y llevarse bien con los demás.;Il personaggio mostra il desiderio di acquisire ricchezza materiale e oggetti di lusso. Investe il suo tempo nella ricerca dei beni materiali, il che talvolta compromette la sua capacità di governare e di andare d'accordo con gli altri.;;;;;;X
TRAIT_NAME_HONEST;Honest;Honnête;Ehrlichkeit;Honrado;Onesto;;;;;;X
TRAIT_DESC_HONEST;The Character is truthful and impartial to deception. He or she is said to have integrity and to be trustworthy and reliable. (Effects: +1 diplomacy, -1 intrigue, +1 yearly prestige);Le personnage est digne de confiance et impartial. On dit de lui qu'il est intègre et fiable.;Der Charakter geht aufrichtig mit wichtigen und trivialen Angelegenheiten um, ungeachtet der Folgen. Von ihm wird behauptet, er sei integer und vertrauenswürdig sowie  gewissenhaft und zuverlässig.;El personaje es sincero e imparcial. Se le considera íntegro, cumplidor y fiable.;Il personaggio è sincero e non inganna. La gente dice che possiede integrità e che è attendibile e degno di fiducia.;;;;;;X
TRAIT_NAME_DECEITFUL;Deceitful;Fourbe;Falschheit;Embustero;Ingannevole;;;;;;X
TRAIT_DESC_DECEITFUL;The Character is very likely to distort the truth to his or her own benefit. The character seeks to bend reality to suit his or her own selfish goals or imperatives. (Effects: -1 diplomacy, +1 intrigue, -1 yearly prestige);Le personnage déformera très vraisemblablement la vérité à ses fins. Le personnage cherche à déformer la réalité pour qu'elle convienne à ses propres buts ou impératifs personnels.;Der Charakter neigt stark zur Verzerrung der Wahrheit zu seinen Gunsten oder zu den Gunsten anderer.;Es muy probable que el personaje tergiverse la verdad en beneficio propio. Intenta acomodar la realidad a sus egoístas metas o necesidades.;"Il personaggio distorce molto spesso la verità a suo beneficio; cerca di modellare la realtà per adattarla ai suoi egoistici fini o bisogni.";;;;;;X
TRAIT_NAME_JUST;Just;Juste;Gerechtigkeit;Justo;Giusto;;;;;;X
TRAIT_DESC_JUST;The Character is capable of telling what is right and wrong given his or her culture and religion, and is desirous of making judgement on that information. He or she is often called fair and impartial, although this lack of ruthlessness may reduce his effectiveness on the field of battle. (Effects: +1 stewardship, -1 martial);Le personnage est capable de dire ce qui est bien ou mal en fonction de sa culture et de sa religion, et est désireux de ne juger que sur des informations objectives. Il est souvent considéré équitable et impartial.;Der Charakter weiß auf der Grundlage seiner  Kultur und Religion zwischen richtig und falsch zu unterscheiden und ist willens, auf dieser Grundlage Entscheidungen zu treffen. Er oder sie wird oft als gerecht und unparteiisch bezeichnet.;Mediante su cultura y religión, el personaje es capaz de discernir entre lo correcto y lo incorrecto, y de hecho anhela llevar a cabo este tipo de juicios. Suele considerársele imparcial y equitativo.;Il personaggio è in grado di distinguere il bene e il male basandosi sulla sua cultura e la sua religione, e desidera giudicare secondo tali criteri. È spesso definito equo e imparziale.;;;;;;X
TRAIT_NAME_ARBITRARY;Arbitrary;Arbitraire;Willkür;Arbitrario;Arbitrario;;;;;;X
TRAIT_DESC_ARBITRARY;The Character has no concern for what is right or wrong, and relies heavily on other's opinions or mere whim when making important decisions. They are considered to be weak willed and incompetent, although this unpredictability may make them potentially dangerous foes on the field of battle. (Effects: +1 martial, -1 stewardship);Le personnage ne s'inquiète pas de ce qui est bien ou mal, et dépend beaucoup de l'opinion et des conseils des autres pour prendre d'importantes décisions. Il est souvent considéré comme faible et incompétent.;Der Charakter kümmert sich nicht darum, was richtig oder falsch ist und stützt sich in seiner Entscheidungsfindung auf andere Menschen. Er kann als willensschwach und inkompetent angesehen werden.;El personaje no tiene criterio respecto a lo que es correcto o incorrecto, así que depende mucho de las opiniones y consejos ajenos para tomar decisiones importantes. Se le considera de voluntad débil e incompetente.;Il personaggio non si preoccupa della differenza tra bene e male, e si fa influenzare molto da opinioni e consigli altrui quando deve prendere decisioni importanti. È considerato debole e incompetente.;;;;;;X
TRAIT_NAME_MERCIFUL;Merciful;Miséricordieux;Barmherzigkeit;Compasivo;Pietoso;;;;;;X
TRAIT_DESC_MERCIFUL;The Character is willing to extend unusual pity or aid to others. This includes sparing an enemy, giving money to the poor, helping the weak, and any other act that is not expected of one's rank and station. He or she is often called compassionate. (Effects: -1 martial, +2 yearly piety);Le personnage éprouve facilement de la pitié et est désireux d'offrir son aide aux autres. Qu'il s'agisse d'épargner un ennemi, de donner de l'argent aux pauvres, d'aider les faibles, ou tout autre acte dont on ne s'attendrait pas en général de la part d'une personne d'un certain rang social. Il est souvent compatissant.;Der Charakter neigt zu ungewöhnlich hohem Mitleid und zur Hilfe anderen gegenüber. Das beinhaltet das Verschonen von Feinden, Geldspenden an die Armen und Unterstützung der Schwachen sowie alles andere, was man von jemandem dieses Ranges und Standes nicht erwartet. Er oder sie gilt oft als mitfühlend.;El personaje quiere ofrecer al prójimo una ayuda o piedad inusuales. Esto incluye liberar a un enemigo, dar dinero a los pobres, ayudar a los débiles o cualquier otro acto que no cabría esperar de alguien de su cargo y categoría. Se le suele considerar misericordioso.;Il personaggio è spiccatamente portato a compatire e aiutare il suo prossimo. Ciò comprende risparmiare un nemico, dare denaro ai poveri, aiutare i deboli, e ogni altra azione inusuale per una persona del suo rango. È spesso definito compassionevole.;;;;;;X
TRAIT_NAME_CRUEL;Cruel;Cruel ;Grausamkeit;Cruel;Crudele;;;;;;X
TRAIT_DESC_CRUEL;The Character disregard the feelings and needs of others, or lack sympathy. Some characters even enjoy other's discomforts and troubles. (Effects: +1 martial, -2 yearly piety);Le personnage méprise les sentiments et besoins des autres. Il ne connaît pas la pitié. Certains personnages cruels apprécient même de voir souffrir les autres.;Der Charakter ignoriert die Gefühle und Notwendigkeiten anderer oder hegt keine Sympathien für andere Menschen. Einige dieser Charaktere genießen sogar die Unannehmlichkeiten und Schwierigkeiten anderer.;El personaje es indiferente ante los sentimientos y necesidades del prójimo, o carece de compasión. Incluso puede llegar a disfrutar de las complicaciones o molestias ajenas.;Il personaggio non dà alcuna importanza ai sentimenti e alle necessità altrui, o non prova comprensione. Alcuni personaggi addirittura godono dei disagi e problemi altrui.;;;;;;X
TRAIT_NAME_MODEST;Modest;Modeste ;Bescheidenheit;Modesto;Modesto;;;;;;X
TRAIT_DESC_MODEST;The Character is a quiet and private individual, never seeking the spotlight. This character finds no pleasure in praise or compliments and does what they can to avoid or downplay it. He or she is often called humble and reserved, perhaps even shy. (Effects: +1 yearly piety, -2 yearly prestige);Le personnage est un individu paisible et secret, ne recherchant jamais le devant de la scène. Il n'est pas attiré par les louanges ou les compliments et fait ce qu'il peut pour les éviter ou les minimiser. Il est souvent considéré comme humble et réservé, peut-être même timide.;Der Charakter ist ehrlich and sucht keine übertriebene Anerkennung in der Schilderung seiner Taten. Er oder sie ist schon glücklich in der Ausübung der Taten und muß nicht ständig wieder davon zu hören. Er oder sie wird oft als bescheiden und zurückhaltend, vielleicht sogar schüchtern bezeichnet.;El personaje es callado y discreto, y evita el protagonismo. No disfruta de los elogios o cumplidos y hace lo que puede para rehuirlos o minimizarlos. Suele ser considerado humilde y reservado, quizá incluso tímido.;Il personaggio è un individuo tranquillo e riservato, che non cerca mai di essere al centro dell'attenzione. Non trova alcun piacere nelle lodi e nei complimenti, e fa ciò che può per evitarli o minimizzarli. È spesso definito umile e riservato, forse anche timido.;;;;;;X
TRAIT_NAME_PROUD;Proud;Fier;Stolz;Orgulloso;Orgoglioso;;;;;;X
TRAIT_DESC_PROUD;The Character is the opposite of Modest. This character enjoys praise and compliments. They are seen to be boastful, arrogant and self-absorbed. (Effects: +1 yearly prestige, -2 yearly piety);Le personnage est l'opposé de la Modestie. Il apprécie les louanges et les compliments. Il est souvent considéré comme vantard, arrogant et égocentrique.;Der Charakter ist das Gegenteil von Bescheiden. Es bereitet dem Charakter Vergnügen, von seinen Taten zu hören oder damit zu prahlen. Einige Charaktere mit dieser Neigung können sogar als arrogant oder prahlerisch bezeichnet werden.;El personaje es lo opuesto de modesto. Disfruta de los elogios y cumplidos. Son personas presuntuosas, arrogantes y egocéntricas.;"Il personaggio è l'opposto di modesto; desidera lodi e complimenti. È considerato vanaglorioso, arrogante e narcisistico.";;;;;;X
TRAIT_NAME_ZEALOUS;Zealous;Fanatique;Eiferer;Fanático;Zelante;;;;;;X
TRAIT_DESC_ZEALOUS;The Character is a devout religious believer. This character is very concerned with scripture and his or her own religious convictions. Sometimes they are radical and seek to force others to their viewpoint, even at the tip of the sword if need be. (Effects: +1 martial, +2 yearly piety);Le personnage est un croyant dévot. il est très soucieux des Écritures et de ses propres convictions religieuses. Quelquefois les dévots sont radicaux jusqu'à forcer les autres à accepter leur point de vue, à la pointe de l'épée si nécessaire.;Der Charakter ist ein religiöser Gläubiger, der sich oft mit der spirituellen Welt und deren Bedeutung auseinandersetzt. Er oder sie gilt oft als fromm oder sogar heiligenähnlich. Manchmal sind derartige Charaktere sogar radikal und versuchen andere, koste es was es wolle, von ihrem Standpunkt zu überzeugen - selbst wenn dafür das Schwert nötig ist.;El personaje es un devoto creyente religioso. Sigue con gran interés las Sagradas Escrituras así como sus propias convicciones religiosas. A veces son personas radicales que quieren imponer su punto de vista a los demás, incluso por la fuerza de la espada si fuera necesario.;"Il personaggio è un devoto credente; attribuisce molta importanza alle sacre scritture e alle sue convinzioni religiose. Talvolta è fanatico e tenta di obbligare gli altri a vedere le cose dal suo punto di vista, minacciandoli se lo ritiene necessario. ";;;;;;X
TRAIT_NAME_SCEPTICAL;Sceptical;Tolérant;Skeptis;Escéptico;Scettico;;;;;;X
TRAIT_DESC_SCEPTICAL;The Character is not someone that will fall upon their scriptures for guidance but relies more heavily on their own good judgement. This person actually on occasion has challenged their religious beliefs and asked probing questions into the word of their God. This person enjoys debate on such matters, but keeps it within a close circle of peers as to not ruffle the feathers of the clergy. (Effects: +1 intrigue, -3 yearly piety);Le personnage n'est pas quelqu'un qui consultera les Écritures pour trouver un guide spirituel. Il  a parfois mis en doute ses propres croyances religieuses, se pose des questions approfondies sur la religion et est relativement respectueux des croyances des autres. Cette personne aime débattre de tels sujets, mais les garde à l'intérieur d'un cercle fermé de pairs pour ne pas provoquer le clergé.;Der Charakter ist nicht gerade jemand, der  religiöse Schriften und Gott als einzig wahre Instanz für Fragen des Lebens akzeptiert. Diese Person zweifelt unbedingten religiösen Glauben an und stellt eindringliche Fragen, Gottes Wort betreffend. Der Charakter genießt religiöse Debatten, aber nur innerhalb eines vertrauten Umfelds, um den Klerus nicht herauszufordern.;No es un personaje que vaya a recurrir a las Sagradas Escrituras como guía. Ha llegado a cuestionar sus creencias religiosas planteando preguntas que ponen en duda la palabra de su Dios. Esta persona disfruta debatiendo tales cuestiones, pero sólo lo hace en su círculo de confianza para no incomodar al clero.;Il personaggio non è tipo da cercare una guida nelle sacre scritture. In realtà, a volte, ha addirittura sfidato le credenze religiose e ha posto domande inquisitorie sulle parole del suo Dio. Questa persona apprezza i dibattiti su tali questioni, ma li mantiene all'interno di un ristretto cerchio di suoi pari per non inimicarsi il clero.;;;;;;X
TRAIT_NAME_WISE;Wise;Sage;Weisheit;Prudente;Saggio;;;;;;X
TRAIT_DESC_WISE;The Character gives great thought to what they do before acting or saying something. An intellectual, the character enjoys thinking and pondering the best course of action in all things. Introverted and sincere, this person rarely lets their emotions get the upperhand in decision making - although this caution may inhibit them from participating in more nefarious activities or from taking advantage of unexpected opportunities. (Effects: +1 martial, +1 diplomacy, -1 intrigue);Le personnage pense beaucoup à ce qu'il fait avant d'agir ou de dire quelque chose. Un intellectuel, il  apprécie de peser et de considérer la meilleure manière d'agir en toute chose. Introverti et sincère, ce personnage laisse rarement ses émotions prendre le dessus dans ses décisions.;Der Charakter überlegt genau, bevor er etwas tut und bezieht auch früher gemachte eigene Erfahrungen oder die Erfahrungen anderer in sein Handeln mit ein. Als Intellektueller genießt es der Charakter, alle seine Handlungen sorgfältig abzuwägen bevor er Maßnahmen ergreift. Introvertiert und aufrichtig lässt dieser Charakter es selten zu, dass Gefühle die Oberhand über seine Handlungen gewinnen.;El personaje se lo piensa mucho antes de hacer o decir algo. Como intelectual que es, disfruta analizando y meditando la mejor línea de actuación en todas las situaciones. Es una persona introvertida y sincera que rara vez permite que sus emociones le puedan a la hora de tomar decisiones.;Il personaggio riflette molto prima di fare o dire qualcosa. È un intellettuale, a cui piace pensare e ponderare la miglior linea di azione in ogni cosa. Introverso e sincero, questo personaggio raramente permette che le sue emozioni prendano il sopravvento quando deve prendere una decisione.;;;;;;X
TRAIT_NAME_RECKLESS;Reckless;Téméraire;Leichtsinnigkeit;Imprudente;Impulsivo;;;;;;X
TRAIT_DESC_RECKLESS;The Character routinely acts before they think. Preferring instead to lash out or do as they please without concern for consequences. (Effects: +1 intrigue, -1 martial, +1 yearly prestige);Le personnage agit de façon impulsive, sans prendre le temps de penser. Préférant à la place faire des folies ou faire ce qui lui plait sans se soucier des conséquences.;Der Charakter handelt ohne zu denken und ohne Rücksicht auf die unmittelbaren Folgen. Er oder sie wird oft als leichtsinnig, unbesonnen oder hitzköpfig bezeichnet.;El personaje tiene por costumbre no pensar antes de actuar. Prefiere dejarse llevar o hacer lo que le apetece sin preocuparse por las consecuencias.;Il personaggio normalmente agisce prima di pensare. Preferisce agire d'istinto e fare ciò che vuole senza preoccuparsi delle conseguenze.;;;;;;X
TRAIT_NAME_TEMPERATE;Temperate;Sobre;Zurückhaltung;Moderado;Temperato;;;;;;X
TRAIT_DESC_TEMPERATE;The Character is self-restrained and is content with the basics of life. This character does nothing to excess, seeing it as wrong or evil. (Effects: -2 fertility, +1 diplomacy, +2 yearly piety);Ce personnage se contente du strict nécessaire dans sa vie. Il ne fait rien à l'excès, considérant cela comme incorrect ou malséant.;Der Charakter nimmt sich an Essen, Trinken und Luxus nur das, was er wirklich zum Leben benötigt. Er ist sparsam und tut nichts bis zum Exzess - sei es nun im positiven oder negativen Sinne. Manchmal wird dieser Charakter sogar als asketisch oder selbstgeißelnd bezeichnet.;El personaje es comedido y acepta las cosas esenciales de la vida. No comete excesos, pues los considera malos o inadecuados.;Il personaggio si autoreprime e si accontenta di avere il necessario. Non fa nulla che conduca a eccessi, che considera sbagliati o addirittura malvagi.;;;;;;X
TRAIT_NAME_INDULGENT;Indulgent;Gourmand;Maßlosigkeit;Indulgente;Autoindulgente;;;;;;X
TRAIT_DESC_INDULGENT;The character has no qualms about enjoying and lusting after whatever they want. Ranging from the carnal delights or an expensive taste in wine, they tend to do everything in great excess, gorging themself with food and drink or losing themself in sexual escapades. (Effects: +2 fertility, -1 diplomacy, -2 yearly piety);Le personnage n'a pas de scrupules à tout apprécier et convoiter. Allant des plaisirs charnels, au x vins fins et chers, il a tendance à tout faire à l'excès, se rassasiant de nourriture et de boisson ou en risquant de perdre son âme dans des escapades plus sensuelles.;Der Charakter genießt und begehrt ohne Bedenken. Ob es nun darum geht, seine  Fleischeslust auszuleben oder darum, teuren Luxus zu genießen, der Charakter tendiert dazu, alles maßlos zu übertreiben. Völlerei, Trunksucht und Orgien sind die Welt, in der dieser Charakter lebt.;El personaje no tiene reparo en disfrutar de todo lo que le apetece. Desde los placeres carnales hasta los vinos más caros, todo lo hace a lo grande, sea dándose un atracón de comida y bebida o perdiéndose en correrías sexuales.;Il personaggio non si fa scrupolo di ricercare e godere tutto ciò che desidera. Che si parli di delizie carnali o di costosi vini, tende a fare tutto con grandi eccessi, ingozzandosi di cibo e di bevande o perdendosi in bravate sessuali.;;;;;;X
TRAIT_NAME_TRUSTING;Trusting;Confiant;Vertrauen;Confiado;Fiducioso;;;;;;X
TRAIT_DESC_TRUSTING;The Character takes what is said from people to be the truth more often than not. In these turbulent times, trusting all and anyone is a very poor idea. Having a healthy dose of suspicion and being wary of signing their name to every deal offered them is something they need to work on. (effects: +1 diplomacy, -2 intrigue);Le personnage prend le plus souvent pour vérité ce que lui disent les autres. En ces temps turbulents, croire tout le monde est une très mauvaise idée. Le fait d'avoir une saine dose de soupçons et d'être prudent avant d'engager son nom dans toute affaire qui lui est proposé est quelque chose qu'il lui reste à apprendre.;Der Charakter glaubt Dingen, ohne auf die Idee zu kommen, dass diese falsch sein könnten. Das macht den Charakter zu einem guten Verhandlungspartner, aber schadet ihm auch, wenn weniger gewissenhafte Charaktere ihn übertölpeln. In diesen schwierigen Zeiten ist es eine sehr schlechte Idee, alles und jedem zu vertrauen.;El personaje da por cierto lo que dice la gente con demasiada frecuencia. En tan turbulenta época, confiar en todo y en todos es mala idea. Una saludable dosis de desconfianza y ser precavido a la hora de firmar los tratos ofrecidos son aspectos en los que este tipo de persona tiene que mejorar.;Il personaggio, nella maggior parte dei casi, ritiene vero ciò che gli viene detto. In questi tempi turbolenti, credere a tutto e a tutti non è consigliabile. Dovrebbe cercare di costruirsi una sana dose di diffidenza, invece di firmare qualsiasi contratto gli venga offerto.;;;;;;X
TRAIT_NAME_SUSPICIOUS;Suspicious;Soupçonneux;Argwohn;Receloso;Sospettoso;;;;;;X
